
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A4:0C:C3:D0:63:C0, 2016-06-09 20:29:49, 2016-06-10 13:03:50,  1,  -1, OPN, ,   ,  -1,        0,      204,   0.  0.  0.  0,   0, , 
A4:0C:C3:90:46:00, 2016-06-09 20:24:47, 2016-06-10 13:02:06,  6,  -1, OPN, ,   ,  -1,        0,      316,  10.214. 32.  1,   0, , 
00:25:84:24:46:F0, 2016-06-09 20:21:38, 2016-06-10 12:57:19,  1,  -1, OPN, ,   ,  -1,        0,      111,   0.  0.  0.  0,   0, , 
00:25:84:24:45:30, 2016-06-09 20:18:30, 2016-06-10 12:54:31,  6,  54, OPN, ,   , -71,        1,      109,  10.214. 33.128,   7, UNL-AIR, 
00:25:84:24:45:32, 2016-06-10 12:51:38, 2016-06-10 12:51:38,  6,  54, OPN, ,   , -72,        1,        0,   0.  0.  0.  0,   9, UNL-Guest, 
A4:0C:C3:90:48:13, 2016-06-10 12:44:15, 2016-06-10 12:44:15,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:25:84:24:45:34, 2016-06-10 11:11:06, 2016-06-10 12:06:15,  6,  54, OPN, ,   , -72,        3,        0,   0.  0.  0.  0,  14, UNL-Conference, 
00:22:6B:92:3B:17, 2016-06-09 22:30:38, 2016-06-10 12:03:18,  6,  54, WPA, TKIP,PSK, -76,       90,        0,   0.  0.  0.  0,   7, linksys, 
A4:0C:C3:96:A7:BF, 2016-06-10 11:43:19, 2016-06-10 11:43:19, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A4:0C:C3:96:A3:40, 2016-06-10 03:47:30, 2016-06-10 11:27:30,  6,  -1, OPN, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
A4:0C:C3:90:4F:91, 2016-06-10 11:20:04, 2016-06-10 11:20:04, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:25:84:24:45:35, 2016-06-10 11:06:29, 2016-06-10 11:06:29,  6,  54, WPA2, CCMP, MGT, -72,        1,        0,   0.  0.  0.  0,   7, eduroam, 
00:25:84:24:45:31, 2016-06-10 10:51:15, 2016-06-10 10:51:15,  6,  54, WPA2, CCMP, MGT, -72,        0,        0,   0.  0.  0.  0,   9, UNL-AIR-E, 
A4:0C:C3:90:46:01, 2016-06-10 10:00:07, 2016-06-10 10:00:07,  1,  -1, OPN, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
00:26:3E:A4:1D:40, 2016-06-10 02:53:53, 2016-06-10 03:05:16, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
94:10:3E:E4:4B:74, 2016-06-10 00:40:42, 2016-06-10 00:40:43, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:18:E7:F5:72:E6, 2016-06-10 00:15:52, 2016-06-10 00:15:52,  2,  54, WPA2 WPA, CCMP TKIP,PSK, -64,        1,        0,   0.  0.  0.  0,   8, Net-Link, 
