
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A4:0C:C3:96:9D:42, 2016-06-09 15:25:27, 2016-06-09 15:27:12, 11,  54, OPN, ,   , -62,       23,        0,   0.  0.  0.  0,   9, UNL-Guest, 
A4:0C:C3:96:9D:41, 2016-06-09 15:25:27, 2016-06-09 15:27:38, 11,  54, WPA2, CCMP, MGT, -64,       22,        0,   0.  0.  0.  0,   9, UNL-AIR-E, 
A4:0C:C3:96:9D:40, 2016-06-09 15:25:28, 2016-06-09 15:27:38, 11,  54, OPN, ,   , -64,       18,        2,   0.  0.  0.  0,   7, UNL-AIR, 
00:1D:7E:42:14:CB, 2016-06-09 15:25:36, 2016-06-09 15:27:13,  6,  54, WPA2, TKIP,PSK, -73,       19,        0,   0.  0.  0.  0,   8, sys-link, 
A4:0C:C3:96:9D:44, 2016-06-09 15:25:28, 2016-06-09 15:26:47, 11,  54, OPN, ,   , -63,       19,        0,   0.  0.  0.  0,  14, UNL-Conference, 
A4:0C:C3:96:9D:45, 2016-06-09 15:25:28, 2016-06-09 15:26:39, 11,  54, WPA2, CCMP, MGT, -63,       11,        0,   0.  0.  0.  0,   7, eduroam, 
00:00:00:00:00:00, 2016-06-09 15:26:18, 2016-06-09 15:26:22, 11,  -1, , ,   , -46,        0,        0,   0.  0.  0.  0,   0, , 
08:95:2A:58:3F:8A, 2016-06-09 15:25:48, 2016-06-09 15:25:49, 11,  54, WPA2, CCMP,PSK, -73,        0,        0,   0.  0.  0.  0,  10, TimDonahue, 
00:22:6B:92:3B:17, 2016-06-09 15:25:32, 2016-06-09 15:25:32,  6,  54, WPA, TKIP,PSK, -76,        1,        0,   0.  0.  0.  0,   7, linksys, 
A4:0C:C3:96:A3:72, 2016-06-09 15:25:27, 2016-06-09 15:27:38, 11,  54, OPN, ,   , -63,       55,        0,   0.  0.  0.  0,   9, UNL-Guest, 
A4:0C:C3:96:9D:43, 2016-06-09 15:25:28, 2016-06-09 15:27:17, 11,  54, OPN, ,   , -64,       18,        0,   0.  0.  0.  0,  25, UNL-Wireless-Registration, 
A4:0C:C3:96:A3:74, 2016-06-09 15:25:27, 2016-06-09 15:27:38, 11,  54, OPN, ,   , -64,       61,        0,   0.  0.  0.  0,  14, UNL-Conference, 
A4:0C:C3:96:A3:71, 2016-06-09 15:25:28, 2016-06-09 15:27:38, 11,  54, WPA2, CCMP, MGT, -64,       56,        0,   0.  0.  0.  0,   9, UNL-AIR-E, 
A4:0C:C3:96:A3:73, 2016-06-09 15:25:28, 2016-06-09 15:27:29, 11,  54, OPN, ,   , -63,       53,        0,   0.  0.  0.  0,  25, UNL-Wireless-Registration, 
A4:0C:C3:96:A3:75, 2016-06-09 15:25:28, 2016-06-09 15:27:38, 11,  54, WPA2, CCMP, MGT, -63,       53,        0,   0.  0.  0.  0,   7, eduroam, 
A4:0C:C3:96:A3:70, 2016-06-09 15:25:28, 2016-06-09 15:27:38, 11,  54, OPN, ,   , -63,       52,        0,   0.  0.  0.  0,   7, UNL-AIR, 
A4:0C:C3:D0:6F:80, 2016-06-09 15:25:28, 2016-06-09 15:27:38,  6,  54, OPN, ,   , -60,       76,        2,   0.  0.  0.  0,   7, UNL-AIR, 
A4:0C:C3:D0:6F:83, 2016-06-09 15:25:28, 2016-06-09 15:27:38,  6,  54, OPN, ,   , -60,       70,        0,   0.  0.  0.  0,  25, UNL-Wireless-Registration, 
A4:0C:C3:D0:6F:81, 2016-06-09 15:25:28, 2016-06-09 15:27:38,  6,  54, WPA2, CCMP, MGT, -60,       71,        0,   0.  0.  0.  0,   9, UNL-AIR-E, 
A4:0C:C3:D0:6F:85, 2016-06-09 15:25:28, 2016-06-09 15:27:38,  6,  54, WPA2, CCMP, MGT, -60,       69,        0,   0.  0.  0.  0,   7, eduroam, 
A4:0C:C3:D0:6F:84, 2016-06-09 15:25:28, 2016-06-09 15:27:38,  6,  54, OPN, ,   , -60,       68,        0,   0.  0.  0.  0,  14, UNL-Conference, 
A4:0C:C3:D0:6F:82, 2016-06-09 15:25:28, 2016-06-09 15:27:38,  6,  54, OPN, ,   , -60,       78,        0,   0.  0.  0.  0,   9, UNL-Guest, 
A4:0C:C3:96:A1:43, 2016-06-09 15:25:28, 2016-06-09 15:27:38,  6,  54, OPN, ,   , -58,       73,        0,   0.  0.  0.  0,  25, UNL-Wireless-Registration, 
A4:0C:C3:96:A1:42, 2016-06-09 15:25:28, 2016-06-09 15:27:38,  6,  54, OPN, ,   , -58,       75,        0,   0.  0.  0.  0,   9, UNL-Guest, 
A4:0C:C3:96:A1:44, 2016-06-09 15:25:28, 2016-06-09 15:27:38,  6,  54, OPN, ,   , -58,       76,        0,   0.  0.  0.  0,  14, UNL-Conference, 
A4:0C:C3:96:A1:45, 2016-06-09 15:25:28, 2016-06-09 15:27:38,  6,  54, WPA2, CCMP, MGT, -58,       74,        0,   0.  0.  0.  0,   7, eduroam, 
