Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;UNL-Guest;A4:0C:C3:96:9D:42;;11;No;OPN,None;No;54.0;0;23;0;0;0;0;0;;;Thu Jun  9 15:25:27 2016;Thu Jun  9 15:27:12 2016;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;UNL-AIR-E;A4:0C:C3:96:9D:41;;11;No;WPA2,AES-CCM;No;54.0;0;22;0;0;0;0;0;;;Thu Jun  9 15:25:27 2016;Thu Jun  9 15:27:38 2016;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;UNL-AIR;A4:0C:C3:96:9D:40;;11;No;OPN,None;No;54.0;0;18;0;2;0;0;2;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;sys-link;00:1D:7E:42:14:CB;;6;No;WPA2,TKIP;No;54.0;0;19;0;0;0;0;0;;;Thu Jun  9 15:25:36 2016;Thu Jun  9 15:27:13 2016;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;UNL-Conference;A4:0C:C3:96:9D:44;;11;No;OPN,None;No;54.0;0;19;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:26:47 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;eduroam;A4:0C:C3:96:9D:45;;11;No;WPA2,AES-CCM;No;54.0;0;11;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:26:39 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;00:00:00:00:00:00;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Jun  9 15:26:18 2016;Thu Jun  9 15:26:22 2016;-46;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;TimDonahue;08:95:2A:58:3F:8A;;11;No;WPA2,AES-CCM;No;54.0;0;0;0;0;0;0;0;;;Thu Jun  9 15:25:48 2016;Thu Jun  9 15:25:49 2016;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;UNL-Guest;A4:0C:C3:96:A3:72;;11;No;OPN,None;No;54.0;0;55;0;0;0;0;0;;;Thu Jun  9 15:25:27 2016;Thu Jun  9 15:27:38 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;UNL-Wireless-Registration;A4:0C:C3:96:9D:43;;11;No;OPN,None;No;54.0;0;18;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:17 2016;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;UNL-Conference;A4:0C:C3:96:A3:74;;11;No;OPN,None;No;54.0;0;61;0;0;0;0;0;;;Thu Jun  9 15:25:27 2016;Thu Jun  9 15:27:38 2016;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;UNL-AIR-E;A4:0C:C3:96:A3:71;;11;No;WPA2,AES-CCM;No;54.0;0;56;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;UNL-Wireless-Registration;A4:0C:C3:96:A3:73;;11;No;OPN,None;No;54.0;0;53;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:29 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;eduroam;A4:0C:C3:96:A3:75;;11;No;WPA2,AES-CCM;No;54.0;0;53;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;UNL-AIR;A4:0C:C3:96:A3:70;;11;No;OPN,None;No;54.0;0;52;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;UNL-AIR;A4:0C:C3:D0:6F:80;;6;No;OPN,None;No;54.0;0;76;0;2;0;0;2;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;UNL-Wireless-Registration;A4:0C:C3:D0:6F:83;;6;No;OPN,None;No;54.0;0;70;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;UNL-AIR-E;A4:0C:C3:D0:6F:81;;6;No;WPA2,AES-CCM;No;54.0;0;71;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
