
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
74:44:01:9E:3E:A6, 2016-06-09 19:49:36, 2016-06-09 20:04:51,  2,  54, WPA2, CCMP,PSK, -73,        3,        0,   0.  0.  0.  0,   9, NETGEAR41, 
A4:0C:C3:90:46:00, 2016-06-09 19:50:47, 2016-06-09 20:03:27,  1,  -1, OPN, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
84:80:2D:8D:31:A1, 2016-06-09 20:01:25, 2016-06-09 20:01:25, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A4:0C:C3:D0:63:C1, 2016-06-09 20:00:31, 2016-06-09 20:00:48,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:25:84:24:77:E0, 2016-06-09 19:59:52, 2016-06-09 19:59:52,  6,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
A4:0C:C3:90:48:10, 2016-06-09 19:54:37, 2016-06-09 19:54:37,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
B4:E9:B0:9E:5E:00, 2016-06-09 19:47:17, 2016-06-09 19:49:52,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A4:0C:C3:D0:63:C0, 2016-06-09 19:48:37, 2016-06-09 19:48:37,  1,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
EF:BE:48:00:05:00, 2016-06-09 19:48:23, 2016-06-09 19:48:28,  5,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
F0:AB:54:12:F2:F8, 2016-06-09 19:44:37, 2016-06-09 19:45:35,  6,  54, WPA2, CCMP TKIP,PSK, -69,       13,        0,   0.  0.  0.  0,  10, MurrayWifi, 
94:10:3E:F2:77:B4, 2016-06-09 19:43:03, 2016-06-09 19:44:15, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A4:0C:C3:96:A3:45, 2016-06-09 19:46:30, 2016-06-09 19:46:30,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:25:84:24:46:F0, 2016-06-09 19:47:38, 2016-06-09 19:49:18,  1,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
00:25:84:24:45:30, 2016-06-09 19:42:26, 2016-06-09 19:53:55,  6,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
A4:0C:C3:96:A3:E0, 2016-06-09 19:55:41, 2016-06-09 19:55:41,  1,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
B0:C2:87:4D:32:2F, 2016-06-09 19:45:49, 2016-06-09 20:01:21,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -66,        8,        2,   0.  0.  0.  0,   7, Huskers, 
08:95:2A:58:3F:8A, 2016-06-09 19:39:43, 2016-06-09 20:04:08, 11,  54, WPA2, CCMP,PSK, -72,       31,        0,   0.  0.  0.  0,  10, TimDonahue, 
A4:0C:C3:96:AC:30, 2016-06-09 20:00:14, 2016-06-09 20:04:34,  1,  -1, OPN, ,   ,  -1,        0,        2,  10.214. 33.218,   0, , 
00:00:00:00:00:00, 2016-06-09 19:37:46, 2016-06-09 20:05:06, 11,  -1, , ,   , -58,        0,        0,   0.  0.  0.  0,   0, , 
00:1D:7E:42:14:CB, 2016-06-09 19:37:50, 2016-06-09 20:05:32,  6,  54, WPA2, TKIP,PSK, -72,      202,        0,   0.  0.  0.  0,   8, sys-link, 
A4:0C:C3:96:A3:71, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, WPA2, CCMP, MGT, -64,      677,        1,   0.  0.  0.  0,   9, UNL-AIR-E, 
A4:0C:C3:96:A3:70, 2016-06-09 19:37:46, 2016-06-09 20:05:49, 11,  54, OPN, ,   , -63,      651,       52,  10.214. 36. 10,   7, UNL-AIR, 
A4:0C:C3:96:A3:75, 2016-06-09 19:37:50, 2016-06-09 20:05:48, 11,  54, WPA2, CCMP, MGT, -63,      674,       23,   0.  0.  0.  0,   7, eduroam, 
A4:0C:C3:96:A3:73, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, OPN, ,   , -62,      664,        3,   0.  0.  0.  0,  25, UNL-Wireless-Registration, 
A4:0C:C3:D0:6F:83, 2016-06-09 19:37:46, 2016-06-09 20:05:45,  6,  54, OPN, ,   , -62,      775,        2,  10. 40. 16. 30,  25, UNL-Wireless-Registration, 
A4:0C:C3:96:A3:74, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, OPN, ,   , -62,      660,        0,   0.  0.  0.  0,  14, UNL-Conference, 
A4:0C:C3:96:A3:72, 2016-06-09 19:37:50, 2016-06-09 20:05:48, 11,  54, OPN, ,   , -62,      697,        0,   0.  0.  0.  0,   9, UNL-Guest, 
A4:0C:C3:D0:6F:81, 2016-06-09 19:37:46, 2016-06-09 20:05:49,  6,  54, WPA2, CCMP, MGT, -62,      778,        0,   0.  0.  0.  0,   9, UNL-AIR-E, 
A4:0C:C3:D0:6F:82, 2016-06-09 19:37:46, 2016-06-09 20:05:45,  6,  54, OPN, ,   , -61,      772,        2,  10.210.236.122,   9, UNL-Guest, 
A4:0C:C3:D0:6F:85, 2016-06-09 19:37:46, 2016-06-09 20:05:49,  6,  54, WPA2, CCMP, MGT, -61,      801,        6,   0.  0.  0.  0,   7, eduroam, 
A4:0C:C3:D0:6F:84, 2016-06-09 19:37:46, 2016-06-09 20:05:49,  6,  54, OPN, ,   , -62,      813,        0,   0.  0.  0.  0,  14, UNL-Conference, 
A4:0C:C3:D0:6F:80, 2016-06-09 19:37:50, 2016-06-09 20:05:49,  6,  54, OPN, ,   , -62,      733,      120,   0.  0.  0.  0,   7, UNL-AIR, 
A4:0C:C3:96:9D:45, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, WPA2, CCMP, MGT, -59,      830,        0,   0.  0.  0.  0,   7, eduroam, 
A4:0C:C3:96:9D:43, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, OPN, ,   , -58,      833,        0,   0.  0.  0.  0,  25, UNL-Wireless-Registration, 
A4:0C:C3:96:9D:44, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, OPN, ,   , -58,      851,        0,   0.  0.  0.  0,  14, UNL-Conference, 
A4:0C:C3:96:9D:42, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, OPN, ,   , -58,      824,        0,   0.  0.  0.  0,   9, UNL-Guest, 
A4:0C:C3:96:A1:43, 2016-06-09 19:37:46, 2016-06-09 20:05:49,  6,  54, OPN, ,   , -58,      857,        8,   0.  0.  0.  0,  25, UNL-Wireless-Registration, 
A4:0C:C3:96:9D:41, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, WPA2, CCMP, MGT, -58,      838,        9,   0.  0.  0.  0,   9, UNL-AIR-E, 
A4:0C:C3:96:9D:40, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, OPN, ,   , -58,      835,      193,   0.  0.  0.  0,   7, UNL-AIR, 
A4:0C:C3:96:A1:44, 2016-06-09 19:37:46, 2016-06-09 20:05:49,  6,  54, OPN, ,   , -57,      890,        0,   0.  0.  0.  0,  14, UNL-Conference, 
A4:0C:C3:96:A1:41, 2016-06-09 19:37:46, 2016-06-09 20:05:49,  6,  54, WPA2, CCMP, MGT, -58,      815,        0,   0.  0.  0.  0,   9, UNL-AIR-E, 
A4:0C:C3:96:A1:42, 2016-06-09 19:37:46, 2016-06-09 20:05:49,  6,  54, OPN, ,   , -58,      889,        0,   0.  0.  0.  0,   9, UNL-Guest, 
A4:0C:C3:96:A1:40, 2016-06-09 19:37:46, 2016-06-09 20:05:49,  6,  54, OPN, ,   , -58,      889,       74,  10.214. 33.112,   7, UNL-AIR, 
A4:0C:C3:96:A1:45, 2016-06-09 19:37:46, 2016-06-09 20:05:49,  6,  54, WPA2, CCMP, MGT, -58,      890,        0,   0.  0.  0.  0,   7, eduroam, 
A4:0C:C3:90:4F:F3, 2016-06-09 19:37:43, 2016-06-09 20:05:49,  1,  54, OPN, ,   , -56,      516,        0,   0.  0.  0.  0,  25, UNL-Wireless-Registration, 
A4:0C:C3:90:4F:F0, 2016-06-09 19:37:43, 2016-06-09 20:05:49,  1,  54, OPN, ,   , -56,      542,       15,   0.  0.  0.  0,   7, UNL-AIR, 
A4:0C:C3:90:4F:F2, 2016-06-09 19:37:43, 2016-06-09 20:05:49,  1,  54, OPN, ,   , -56,      534,        0,   0.  0.  0.  0,   9, UNL-Guest, 
A4:0C:C3:90:4F:F1, 2016-06-09 19:37:43, 2016-06-09 20:05:49,  1,  54, WPA2, CCMP, MGT, -57,      517,        0,   0.  0.  0.  0,   9, UNL-AIR-E, 
A4:0C:C3:90:4F:F4, 2016-06-09 19:37:43, 2016-06-09 20:05:49,  1,  54, OPN, ,   , -56,      535,        0,   0.  0.  0.  0,  14, UNL-Conference, 
A4:0C:C3:90:4F:F5, 2016-06-09 19:37:43, 2016-06-09 20:05:49,  1,  54, WPA2, CCMP, MGT, -56,      530,        6,   0.  0.  0.  0,   7, eduroam, 
AC:A0:16:CB:54:84, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, OPN, ,   , -50,      895,        0,   0.  0.  0.  0,  14, UNL-Conference, 
AC:A0:16:CB:54:83, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, OPN, ,   , -49,      875,        0,   0.  0.  0.  0,  25, UNL-Wireless-Registration, 
AC:A0:16:CB:54:81, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, WPA2, CCMP, MGT, -49,      877,        0,   0.  0.  0.  0,   9, UNL-AIR-E, 
AC:A0:16:CB:54:80, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, OPN, ,   , -49,      867,      869,  10.214. 34.148,   7, UNL-AIR, 
AC:A0:16:CB:54:82, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, OPN, ,   , -49,      901,        0,   0.  0.  0.  0,   9, UNL-Guest, 
AC:A0:16:CB:54:85, 2016-06-09 19:37:46, 2016-06-09 20:05:48, 11,  54, WPA2, CCMP, MGT, -48,      895,      758,   0.  0.  0.  0,   7, eduroam, 
02:26:96:01:C7:FC, 2016-06-09 19:37:49, 2016-06-09 20:05:48, 10,  11, OPN, ,   ,  -1,      519,        0,   0.  0.  0.  0,   8, HPC50152, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
0C:8B:FD:26:76:9A, 2016-06-09 19:50:43, 2016-06-09 20:04:34, -64,       56, A4:0C:C3:96:AC:30,UNL-AIR,UNL-Guest,UNL-Wireless-Registration
CC:95:D7:4F:93:E1, 2016-06-09 19:43:12, 2016-06-09 20:04:08, -60,       12, A4:0C:C3:96:A3:70,
AC:FD:CE:98:A7:A1, 2016-06-09 19:41:30, 2016-06-09 20:03:59, -64,        7, A4:0C:C3:96:A3:70,UNL-AIR
70:EC:E4:82:6D:54, 2016-06-09 19:38:50, 2016-06-09 20:03:09, -38,      200, AC:A0:16:CB:54:80,UNL-AIR
F8:F1:B6:6B:E8:52, 2016-06-09 20:00:31, 2016-06-09 20:02:48, -68,       49, A4:0C:C3:96:9D:41,UnityAP,404Frances,Coleman,unitylincoln,UNL-AIR-E
50:2E:5C:3A:78:DF, 2016-06-09 19:39:43, 2016-06-09 20:02:19, -50,       39, AC:A0:16:CB:54:80,
FC:DB:B3:2C:9F:C6, 2016-06-09 19:38:24, 2016-06-09 20:02:23, -64,       26, AC:A0:16:CB:54:80,UNL-AIR
4C:7C:5F:5F:DF:03, 2016-06-09 19:41:57, 2016-06-09 19:59:48,  -1,      103, A4:0C:C3:D0:6F:80,
00:23:4E:85:DE:60, 2016-06-09 19:37:46, 2016-06-09 19:59:10,  -1,       65, A4:0C:C3:96:9D:40,
FC:DB:B3:6A:53:20, 2016-06-09 19:57:55, 2016-06-09 19:58:08, -64,        5, A4:0C:C3:90:4F:F0,UNL-AIR
C0:CC:F8:11:BB:EB, 2016-06-09 19:50:47, 2016-06-09 19:57:21, -52,      104, AC:A0:16:CB:54:80,UNL-AIR
68:D9:3C:47:40:B0, 2016-06-09 19:39:18, 2016-06-09 19:57:00, -68,       78, A4:0C:C3:96:A3:70,UNL-AIR
54:35:30:B9:55:16, 2016-06-09 19:39:47, 2016-06-09 19:55:36, -70,      437, A4:0C:C3:96:A3:70,UNL-AIR
DC:9F:DB:50:51:4B, 2016-06-09 19:54:57, 2016-06-09 19:54:57, -68,        1, (not associated) ,
6C:AD:F8:49:23:39, 2016-06-09 19:43:43, 2016-06-09 19:53:08, -72,        5, (not associated) ,"Interwebs "
F0:25:B7:4E:36:40, 2016-06-09 19:37:52, 2016-06-09 19:52:58, -62,      159, A4:0C:C3:96:A3:70,UNL-AIR,lolo,dg860ac103e2
B4:18:D1:36:FD:B5, 2016-06-09 19:52:56, 2016-06-09 19:52:56, -64,        1, (not associated) ,UNL-AIR-E
84:7A:88:78:A1:75, 2016-06-09 19:52:02, 2016-06-09 19:53:00, -66,       24, A4:0C:C3:96:A3:70,UNL-AIR
00:56:CD:7C:6C:ED, 2016-06-09 19:52:20, 2016-06-09 19:52:20, -60,        1, (not associated) ,UNL-AIR
32:7F:29:63:8C:10, 2016-06-09 19:51:43, 2016-06-09 19:51:43, -68,        1, (not associated) ,
24:E3:14:B1:C5:CA, 2016-06-09 19:43:17, 2016-06-09 19:50:08,  -1,       11, A4:0C:C3:D0:6F:80,
BC:6C:21:25:89:BB, 2016-06-09 19:47:33, 2016-06-09 19:47:46,  -1,        8, A4:0C:C3:96:A1:43,
BE:7D:61:86:AC:E6, 2016-06-09 19:46:57, 2016-06-09 19:46:57, -76,        1, (not associated) ,
F0:27:65:99:1E:DE, 2016-06-09 19:42:26, 2016-06-09 19:45:35, -72,       30, F0:AB:54:12:F2:F8,UNL-AIR,HHFEB14
A4:81:EE:45:2F:50, 2016-06-09 19:44:08, 2016-06-09 19:44:08, -56,        2, A4:0C:C3:90:4F:F0,
AC:7F:3E:1D:8A:0C, 2016-06-09 19:40:59, 2016-06-09 19:40:59,  -1,        6, A4:0C:C3:D0:6F:80,
28:A0:2B:CF:72:07, 2016-06-09 19:39:27, 2016-06-09 19:39:35, -70,       15, A4:0C:C3:96:A3:70,
84:29:99:5F:EC:6E, 2016-06-09 19:38:57, 2016-06-09 19:38:57, -68,        1, (not associated) ,
42:95:7E:9D:3F:6E, 2016-06-09 19:37:53, 2016-06-09 19:38:44, -68,        4, (not associated) ,
54:4E:90:01:66:6E, 2016-06-09 19:39:14, 2016-06-09 19:39:14,  -1,        2, A4:0C:C3:D0:6F:80,
6C:40:08:BE:1E:0C, 2016-06-09 19:39:41, 2016-06-09 19:39:41, -56,        4, (not associated) ,
DA:A1:19:F1:BC:A5, 2016-06-09 19:44:05, 2016-06-09 19:44:06, -30,        5, (not associated) ,
4C:BB:58:49:38:E6, 2016-06-09 19:41:50, 2016-06-09 19:44:15, -72,        4, 94:10:3E:F2:77:B4,Dil Se
00:AE:FA:48:D4:6C, 2016-06-09 19:45:02, 2016-06-09 19:45:02, -68,        2, (not associated) ,
A8:66:7F:AE:C6:18, 2016-06-09 19:47:15, 2016-06-09 19:47:17, -58,        6, B4:E9:B0:9E:5E:00,UNL-AIR
6C:AD:F8:61:64:73, 2016-06-09 19:38:20, 2016-06-09 19:48:03, -68,        2, (not associated) ,SCH-I5350387
34:AA:8B:F8:12:8C, 2016-06-09 19:48:16, 2016-06-09 19:48:16, -74,        1, (not associated) ,
00:FF:01:FF:02:FF, 2016-06-09 19:48:23, 2016-06-09 19:48:28, -74,        3, EF:BE:48:00:05:00,
F4:5C:89:B5:48:67, 2016-06-09 19:52:12, 2016-06-09 19:52:18, -72,       11, (not associated) ,huskerville1,huskerhq
64:80:99:C1:B8:B7, 2016-06-09 19:53:13, 2016-06-09 19:53:13,  -1,        1, A4:0C:C3:96:A3:70,
00:27:22:84:89:A3, 2016-06-09 19:53:25, 2016-06-09 19:53:30, -66,        6, (not associated) ,DIGREC
98:4B:E1:56:09:CA, 2016-06-09 19:57:13, 2016-06-09 19:57:13,  -1,        1, B0:C2:87:4D:32:2F,
A0:99:9B:38:B7:93, 2016-06-09 19:57:52, 2016-06-09 19:58:04, -64,       12, A4:0C:C3:90:46:00,UNL-AIR
84:10:0D:AF:A3:05, 2016-06-09 20:00:06, 2016-06-09 20:00:06, -68,        1, (not associated) ,
74:81:14:54:72:9E, 2016-06-09 20:00:25, 2016-06-09 20:00:25,  -1,        4, A4:0C:C3:96:A3:70,
78:F8:82:C0:3C:BA, 2016-06-09 20:00:47, 2016-06-09 20:00:51, -62,        6, (not associated) ,UNL-AIR
FC:DB:B3:3C:3D:9E, 2016-06-09 19:37:50, 2016-06-09 20:01:16, -70,       39, A4:0C:C3:96:A3:70,UNL-AIR
24:A2:E1:DC:49:CC, 2016-06-09 19:47:32, 2016-06-09 20:01:54, -58,       12, A4:0C:C3:D0:6F:83,UNL-Wireless-Registration
D0:33:11:0D:77:D7, 2016-06-09 19:37:46, 2016-06-09 20:01:49, -48,      543, AC:A0:16:CB:54:85,eduroam
28:CF:E9:08:88:B1, 2016-06-09 19:41:26, 2016-06-09 20:03:26, -62,        7, (not associated) ,
78:DD:08:DF:BD:E9, 2016-06-09 19:38:45, 2016-06-09 20:05:49, -60,       31, A4:0C:C3:96:A1:40,
80:01:84:76:0A:EB, 2016-06-09 19:52:37, 2016-06-09 20:04:15, -48,        5, (not associated) ,
E4:98:D6:17:D4:E1, 2016-06-09 19:37:45, 2016-06-09 20:04:29, -46,      361, AC:A0:16:CB:54:85,eduroam
00:34:DA:7D:A0:A2, 2016-06-09 19:46:58, 2016-06-09 20:04:25, -42,      187, A4:0C:C3:96:A1:40,
64:BC:0C:66:E1:53, 2016-06-09 19:38:02, 2016-06-09 20:04:26, -32,      120, AC:A0:16:CB:54:85,eduroam
78:FD:94:2C:C4:7C, 2016-06-09 19:40:21, 2016-06-09 20:04:41, -66,       14, A4:0C:C3:96:A3:70,UNL-AIR
60:A4:4C:93:10:91, 2016-06-09 19:42:08, 2016-06-09 20:05:04, -72,        6, (not associated) ,Guest,chsg
B4:99:BA:C5:01:52, 2016-06-09 19:37:48, 2016-06-09 20:05:48, -66,      816, 02:26:96:01:C7:FC,HPC50152
58:7F:57:79:67:F4, 2016-06-09 20:01:43, 2016-06-09 20:05:23, -66,       21, A4:0C:C3:90:4F:F0,UNL-AIR
EC:1F:72:12:F9:F3, 2016-06-09 19:39:45, 2016-06-09 20:05:48, -62,      107, A4:0C:C3:96:9D:40,
68:09:27:33:17:79, 2016-06-09 19:38:26, 2016-06-09 20:05:23, -58,       36, (not associated) ,
4C:BB:58:23:33:E7, 2016-06-09 19:37:43, 2016-06-09 20:05:49, -54,       84, A4:0C:C3:96:A3:70,UNL-AIR
B4:AE:2B:22:EE:37, 2016-06-09 19:38:15, 2016-06-09 20:05:10, -56,       79, A4:0C:C3:96:9D:40,
80:00:0B:7B:39:9B, 2016-06-09 19:37:50, 2016-06-09 20:05:23, -54,       72, A4:0C:C3:96:A3:70,UNL-AIR
7C:7A:91:27:55:D3, 2016-06-09 19:38:25, 2016-06-09 20:05:48, -50,      448, AC:A0:16:CB:54:80,UNL-AIR
DC:53:60:D0:37:61, 2016-06-09 19:39:10, 2016-06-09 20:04:49, -48,       38, (not associated) ,
24:F0:94:84:CC:2A, 2016-06-09 19:59:35, 2016-06-09 20:05:51, -56,       33, AC:A0:16:CB:54:80,UNL-AIR
6C:94:F8:69:CF:EC, 2016-06-09 19:38:27, 2016-06-09 20:05:36, -44,      214, A4:0C:C3:96:A3:70,UNL-AIR
78:4B:87:79:DE:3B, 2016-06-09 19:46:48, 2016-06-09 20:05:33, -42,       29, (not associated) ,
F0:7B:CB:9F:A0:C1, 2016-06-09 19:38:03, 2016-06-09 20:05:44, -26,       60, AC:A0:16:CB:54:85,
24:FD:52:A5:65:0D, 2016-06-09 19:38:07, 2016-06-09 20:05:48, -22,     2364, AC:A0:16:CB:54:80,NTC

